datasets_path,classifier,n_jobs,random_seed,test_fraction,log_file,query_strategy,dataset_name,cluster,batch_size,plot,output_path,hyper_search_type,total_budget,amount_of_peaked_objects,plot_evolution,representative_features,stop_after_maximum_accuracy_reached,state_diff_probas,state_argsecond_probas,state_argthird_probas,state_distances_lab,state_distances_unlab,state_predicted_class,state_predicted_unity,state_distances,state_uncertainties,batch_mode,distance_metric,state_include_nr_features,pre_sampling_method,pre_sampling_arg,pre_sampling_hybrid_uncert,pre_sampling_hybrid_furthest,pre_sampling_hybrid_furthest_lab,pre_sampling_hybrid_pred_unity,amount_of_synthetic_labelling_functions,disable_fake_experiment_oracle,ws_mode,use_ws_labels_continously,andreas,andreas_number,len_train_data,synthetic_creation_args,acc_auc,cores,fit_time,acc_test,acc_test_oracle,f1_test_oracle,precision_test_oracle,recall_test_oracle,f1_auc,thread_id,end_time,amount_of_all_labels,shape,n_samples,__n_features,m_rel,m_red,m_irr,n_classes,n_clusters_per_class,mov_vectors,random_state
../datasets,RF,1,20,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,17600,"{'shape': None, 'n_samples': 35200, '__n_features': 52, 'm_rel': 40, 'm_red': 4, 'm_irr': 8, 'n_classes': 5, 'n_clusters_per_class': 6, 'mov_vectors': None, 'random_state': 94738}",0.2224715909090909,1,80.4697439763695,0.23380681818181817,0.0,0.0,0.0,0.0,0.1859497222634629,47183998496832,2021-09-10 11:29:36.610272,55,,35200,52,40,4,8,5,6,,94738
../datasets,RF,1,10,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,875,"{'shape': None, 'n_samples': 1750, '__n_features': 29, 'm_rel': 22, 'm_red': 7, 'm_irr': 0, 'n_classes': 8, 'n_clusters_per_class': 8, 'mov_vectors': None, 'random_state': 74894}",0.1381142857142857,1,38.654464706778526,0.14514285714285713,0.0,0.0,0.0,0.0,0.10866015846624773,47229754867776,2021-09-10 11:30:36.840205,58,,1750,29,22,7,0,8,8,,74894
../datasets,RF,1,21,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,10750,"{'shape': None, 'n_samples': 21500, '__n_features': 46, 'm_rel': 30, 'm_red': 6, 'm_irr': 10, 'n_classes': 11, 'n_clusters_per_class': 8, 'mov_vectors': None, 'random_state': 21620}",0.11236279069767441,1,72.90005556866527,0.11516279069767442,0.0,0.0,0.0,0.0,0.0859747036233641,47256613642304,2021-09-10 11:31:01.859467,61,,21500,46,30,6,10,11,8,,21620
../datasets,RF,1,0,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,19450,"{'shape': None, 'n_samples': 38900, '__n_features': 58, 'm_rel': 44, 'm_red': 13, 'm_irr': 1, 'n_classes': 10, 'n_clusters_per_class': 9, 'mov_vectors': None, 'random_state': 50494}",0.10747557840616968,1,116.6218010187149,0.10976863753213367,0.0,0.0,0.0,0.0,0.06854126611097826,47161252626496,2021-09-10 11:31:55.461528,60,,38900,58,44,13,1,10,9,,50494
../datasets,RF,1,22,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,6250,"{'shape': None, 'n_samples': 12500, '__n_features': 3, 'm_rel': 3, 'm_red': 0, 'm_irr': 0, 'n_classes': 5, 'n_clusters_per_class': 1, 'mov_vectors': None, 'random_state': 18398}",0.616704,1,48.43956406414509,0.73008,0.0,0.0,0.0,0.0,0.6066850822640483,47907297267776,2021-09-10 11:32:01.936811,55,,12500,3,3,0,0,5,1,,18398
../datasets,RF,1,1,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,14600,"{'shape': None, 'n_samples': 29200, '__n_features': 56, 'm_rel': 46, 'm_red': 2, 'm_irr': 8, 'n_classes': 5, 'n_clusters_per_class': 8, 'mov_vectors': None, 'random_state': 17611}",0.2188904109589041,1,78.83608468621969,0.22876712328767124,0.0,0.0,0.0,0.0,0.19010029524802766,47271900233792,2021-09-10 11:33:26.751787,55,,29200,56,46,2,8,5,8,,17611
../datasets,RF,1,11,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,22200,"{'shape': None, 'n_samples': 44400, '__n_features': 37, 'm_rel': 23, 'm_red': 7, 'm_irr': 7, 'n_classes': 18, 'n_clusters_per_class': 10, 'mov_vectors': None, 'random_state': 59294}",0.06362162162162162,1,156.71543876826763,0.06612612612612613,0.0,0.0,0.0,0.0,0.050560818821132225,47272434548800,2021-09-10 11:33:29.819468,68,,44400,37,23,7,7,18,10,,59294
../datasets,RF,1,2,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,2375,"{'shape': None, 'n_samples': 4750, '__n_features': 7, 'm_rel': 6, 'm_red': 1, 'm_irr': 0, 'n_classes': 11, 'n_clusters_per_class': 5, 'mov_vectors': None, 'random_state': 7412}",0.14522105263157892,1,44.50065949931741,0.1911578947368421,0.0,0.0,0.0,0.0,0.12576482674206044,47435777372224,2021-09-10 11:34:22.264108,61,,4750,7,6,1,0,11,5,,7412
../datasets,RF,1,12,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,6925,"{'shape': None, 'n_samples': 13850, '__n_features': 44, 'm_rel': 26, 'm_red': 8, 'm_irr': 10, 'n_classes': 13, 'n_clusters_per_class': 3, 'mov_vectors': None, 'random_state': 62202}",0.11595667870036101,1,67.05081929266453,0.12837545126353792,0.0,0.0,0.0,0.0,0.08589391732457721,47852069216320,2021-09-10 11:34:48.819543,63,,13850,44,26,8,10,13,3,,62202
../datasets,RF,1,23,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,22875,"{'shape': None, 'n_samples': 45750, '__n_features': 55, 'm_rel': 53, 'm_red': 2, 'm_irr': 0, 'n_classes': 20, 'n_clusters_per_class': 5, 'mov_vectors': None, 'random_state': 37999}",0.055641530054644804,1,160.91977422498167,0.0593224043715847,0.0,0.0,0.0,0.0,0.03499943753205744,47916702523456,2021-09-10 11:34:56.134032,70,,45750,55,53,2,0,20,5,,37999
