datasets_path,classifier,n_jobs,random_seed,test_fraction,log_file,query_strategy,dataset_name,cluster,batch_size,plot,output_path,hyper_search_type,total_budget,amount_of_peaked_objects,plot_evolution,representative_features,stop_after_maximum_accuracy_reached,state_diff_probas,state_argsecond_probas,state_argthird_probas,state_distances_lab,state_distances_unlab,state_predicted_class,state_predicted_unity,state_distances,state_uncertainties,batch_mode,distance_metric,state_include_nr_features,pre_sampling_method,pre_sampling_arg,pre_sampling_hybrid_uncert,pre_sampling_hybrid_furthest,pre_sampling_hybrid_furthest_lab,pre_sampling_hybrid_pred_unity,amount_of_synthetic_labelling_functions,disable_fake_experiment_oracle,ws_mode,use_ws_labels_continously,andreas,andreas_number,len_train_data,synthetic_creation_args,acc_auc,cores,fit_time,acc_test,acc_test_oracle,f1_test_oracle,precision_test_oracle,recall_test_oracle,f1_auc,thread_id,end_time,amount_of_all_labels,shape,n_samples,__n_features,m_rel,m_red,m_irr,n_classes,n_clusters_per_class,random_state
../datasets,RF,1,40,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,5677,"{'shape': 'mix', 'n_samples': 11354, '__n_features': 35, 'm_rel': 18, 'm_red': 9, 'm_irr': 8, 'n_classes': 2, 'n_clusters_per_class': 2, 'random_state': 60110}",0.48656861018143377,1,46.735136069124565,0.5016734190593624,0.0,0.0,0.0,0.0,0.4337054418075776,47099795701824,2021-09-27 13:16:45.326466,52,mix,11354,35,18,9,8,2,2,60110
../datasets,RF,1,60,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,4735,"{'shape': 'mix', 'n_samples': 9469, '__n_features': 27, 'm_rel': 14, 'm_red': 4, 'm_irr': 9, 'n_classes': 4, 'n_clusters_per_class': 3, 'random_state': 40344}",0.25974862695395007,1,47.84394123312086,0.2581326573722011,0.0,0.0,0.0,0.0,0.21481190645241396,47055306870848,2021-09-27 13:16:45.342893,54,mix,9469,27,14,4,9,4,3,40344
../datasets,RF,1,50,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,2819,"{'shape': 'mix', 'n_samples': 5637, '__n_features': 28, 'm_rel': 19, 'm_red': 4, 'm_irr': 5, 'n_classes': 12, 'n_clusters_per_class': 2, 'random_state': 65213}",0.08346344925479064,1,47.87043975107372,0.08339247693399574,0.0,0.0,0.0,0.0,0.06647315574443839,47447398285376,2021-09-27 13:16:45.561123,62,mix,5637,28,19,4,5,12,2,65213
../datasets,RF,1,30,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,3708,"{'shape': 'mix', 'n_samples': 7415, '__n_features': 48, 'm_rel': 35, 'm_red': 4, 'm_irr': 9, 'n_classes': 2, 'n_clusters_per_class': 5, 'random_state': 70658}",0.49917723226328564,1,50.46385190496221,0.49662800107903965,0.0,0.0,0.0,0.0,0.4936444074051365,47158961610816,2021-09-27 13:16:50.849736,52,mix,7415,48,35,4,9,2,5,70658
../datasets,RF,1,90,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,6827,"{'shape': 'mix', 'n_samples': 13653, '__n_features': 25, 'm_rel': 17, 'm_red': 1, 'm_irr': 7, 'n_classes': 12, 'n_clusters_per_class': 5, 'random_state': 26695}",0.08348227365953706,1,65.73140883003362,0.08496923527688251,0.0,0.0,0.0,0.0,0.05866255679913775,48005274398784,2021-09-27 13:17:03.747657,62,mix,13653,25,17,1,7,12,5,26695
../datasets,RF,1,70,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,10053,"{'shape': 'mix', 'n_samples': 20105, '__n_features': 32, 'm_rel': 21, 'm_red': 4, 'm_irr': 7, 'n_classes': 9, 'n_clusters_per_class': 2, 'random_state': 15523}",0.11027656187823318,1,73.32306076982059,0.11530043772383605,0.0,0.0,0.0,0.0,0.08029444584175807,47013204058176,2021-09-27 13:17:13.420735,59,mix,20105,32,21,4,7,9,2,15523
../datasets,RF,1,10,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,11495,"{'shape': 'mix', 'n_samples': 22989, '__n_features': 33, 'm_rel': 27, 'm_red': 0, 'm_irr': 6, 'n_classes': 9, 'n_clusters_per_class': 5, 'random_state': 74894}",0.11433791543413956,1,74.86525445012376,0.11144945188794153,0.0,0.0,0.0,0.0,0.08268520300438106,47402906992704,2021-09-27 13:17:16.166653,59,mix,22989,33,27,0,6,9,5,74894
../datasets,RF,1,0,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,12792,"{'shape': 'mix', 'n_samples': 25584, '__n_features': 30, 'm_rel': 24, 'm_red': 6, 'm_irr': 0, 'n_classes': 6, 'n_clusters_per_class': 5, 'random_state': 50494}",0.1650093808630394,1,74.20583151304163,0.16557223264540338,0.0,0.0,0.0,0.0,0.13772303900222377,47117532921920,2021-09-27 13:17:16.167717,56,mix,25584,30,24,6,0,6,5,50494
../datasets,RF,1,20,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,10152,"{'shape': 'mix', 'n_samples': 20303, '__n_features': 33, 'm_rel': 21, 'm_red': 10, 'm_irr': 2, 'n_classes': 6, 'n_clusters_per_class': 1, 'random_state': 94738}",0.17695793517880012,1,78.00203115609474,0.17082060880701408,0.0,0.0,0.0,0.0,0.14041443708149823,47255705714752,2021-09-27 13:17:19.832700,56,mix,20303,33,21,10,2,6,1,94738
../datasets,RF,1,80,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,13200,"{'shape': 'mix', 'n_samples': 26399, '__n_features': 36, 'm_rel': 22, 'm_red': 6, 'm_irr': 8, 'n_classes': 13, 'n_clusters_per_class': 4, 'random_state': 35584}",0.0799037805894386,1,97.38651421689428,0.08190014395029926,0.0,0.0,0.0,0.0,0.05413044340865186,47229499203648,2021-09-27 13:17:38.695577,63,mix,26399,36,22,6,8,13,4,35584
../datasets,RF,1,41,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,6688,"{'shape': 'mix', 'n_samples': 13375, '__n_features': 29, 'm_rel': 21, 'm_red': 5, 'm_irr': 3, 'n_classes': 4, 'n_clusters_per_class': 4, 'random_state': 49941}",0.2517795723044714,1,52.588985395850614,0.2537759832510842,0.0,0.0,0.0,0.0,0.23283533478258484,47351986786368,2021-09-27 13:18:00.970894,54,mix,13375,29,21,5,3,4,4,49941
../datasets,RF,1,51,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,6628,"{'shape': 'mix', 'n_samples': 13256, '__n_features': 37, 'm_rel': 21, 'm_red': 8, 'm_irr': 8, 'n_classes': 4, 'n_clusters_per_class': 2, 'random_state': 31918}",0.2523687386843694,1,53.967580404132605,0.24818949909474955,0.0,0.0,0.0,0.0,0.2281896926551918,47997343416384,2021-09-27 13:18:02.739435,54,mix,13256,37,21,8,8,4,2,31918
../datasets,RF,1,61,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,6206,"{'shape': 'mix', 'n_samples': 12411, '__n_features': 34, 'm_rel': 24, 'm_red': 2, 'm_irr': 8, 'n_classes': 5, 'n_clusters_per_class': 3, 'random_state': 64813}",0.2007010475423046,1,54.45496511203237,0.19290894439967768,0.0,0.0,0.0,0.0,0.1649475617806967,47581432541248,2021-09-27 13:18:02.969354,55,mix,12411,34,24,2,8,5,3,64813
../datasets,RF,1,91,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,5682,"{'shape': 'mix', 'n_samples': 11363, '__n_features': 20, 'm_rel': 9, 'm_red': 9, 'm_irr': 2, 'n_classes': 12, 'n_clusters_per_class': 2, 'random_state': 10947}",0.08415771871149445,1,62.02795334579423,0.08202781200492872,0.0,0.0,0.0,0.0,0.07136916617053879,47358333022272,2021-09-27 13:18:25.330083,62,mix,11363,20,9,9,2,12,2,10947
../datasets,RF,1,31,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,6256,"{'shape': 'mix', 'n_samples': 12511, '__n_features': 24, 'm_rel': 16, 'm_red': 7, 'm_irr': 1, 'n_classes': 14, 'n_clusters_per_class': 4, 'random_state': 1609}",0.07355715427657875,1,80.28430562908761,0.07705835331734612,0.0,0.0,0.0,0.0,0.04384298540936417,47761171034176,2021-09-27 13:18:33.636302,64,mix,12511,24,16,7,1,14,4,1609
../datasets,RF,1,71,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,6208,"{'shape': 'mix', 'n_samples': 12416, '__n_features': 25, 'm_rel': 8, 'm_red': 8, 'm_irr': 9, 'n_classes': 14, 'n_clusters_per_class': 1, 'random_state': 42434}",0.07870489690721649,1,66.96038186503574,0.08150773195876289,0.0,0.0,0.0,0.0,0.05771244541185579,47004140113984,2021-09-27 13:18:37.843728,64,mix,12416,25,8,8,9,14,1,42434
../datasets,RF,1,81,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,3420,"{'shape': 'mix', 'n_samples': 6840, '__n_features': 19, 'm_rel': 7, 'm_red': 7, 'm_irr': 5, 'n_classes': 10, 'n_clusters_per_class': 5, 'random_state': 66314}",0.09478070175438595,1,49.58814202109352,0.09590643274853801,0.0,0.0,0.0,0.0,0.07946115051941742,47044829048896,2021-09-27 13:18:41.060622,60,mix,6840,19,7,7,5,10,5,66314
../datasets,RF,1,1,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,12373,"{'shape': 'mix', 'n_samples': 24746, '__n_features': 23, 'm_rel': 13, 'm_red': 9, 'm_irr': 1, 'n_classes': 6, 'n_clusters_per_class': 1, 'random_state': 17611}",0.17484441930008893,1,73.92182185011916,0.17061343247393518,0.0,0.0,0.0,0.0,0.1405860470385334,46963119304768,2021-09-27 13:18:51.745966,56,mix,24746,23,13,9,1,6,1,17611
../datasets,RF,1,11,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,12748,"{'shape': 'mix', 'n_samples': 25496, '__n_features': 32, 'm_rel': 17, 'm_red': 8, 'm_irr': 7, 'n_classes': 9, 'n_clusters_per_class': 5, 'random_state': 59294}",0.10829541888923752,1,79.99890338908881,0.11468465641669282,0.0,0.0,0.0,0.0,0.0858879967262634,47301138055232,2021-09-27 13:18:58.170945,59,mix,25496,32,17,8,7,9,5,59294
../datasets,RF,1,21,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,7344,"{'shape': 'mix', 'n_samples': 14688, '__n_features': 30, 'm_rel': 18, 'm_red': 6, 'm_irr': 6, 'n_classes': 12, 'n_clusters_per_class': 3, 'random_state': 21620}",0.07711737472766884,1,79.05197152891196,0.07747821350762528,0.0,0.0,0.0,0.0,0.053633270409055536,47229038444608,2021-09-27 13:19:01.168149,62,mix,14688,30,18,6,6,12,3,21620
../datasets,RF,1,62,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,7463,"{'shape': 'mix', 'n_samples': 14926, '__n_features': 17, 'm_rel': 14, 'm_red': 2, 'm_irr': 1, 'n_classes': 5, 'n_clusters_per_class': 4, 'random_state': 75400}",0.2012193487873509,1,57.291632594075054,0.1983116709098218,0.0,0.0,0.0,0.0,0.18116695629313684,47739547803712,2021-09-27 13:19:18.077003,55,mix,14926,17,14,2,1,5,4,75400
../datasets,RF,1,52,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,9058,"{'shape': 'mix', 'n_samples': 18116, '__n_features': 15, 'm_rel': 7, 'm_red': 0, 'm_irr': 8, 'n_classes': 9, 'n_clusters_per_class': 3, 'random_state': 35168}",0.10869397217928903,1,69.23827384016477,0.11349083682932215,0.0,0.0,0.0,0.0,0.09083173649428955,47577894965312,2021-09-27 13:19:30.387428,59,mix,18116,15,7,0,8,9,3,35168
../datasets,RF,1,42,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,8990,"{'shape': 'mix', 'n_samples': 17980, '__n_features': 19, 'm_rel': 18, 'm_red': 1, 'm_irr': 0, 'n_classes': 13, 'n_clusters_per_class': 3, 'random_state': 83810}",0.07905450500556173,1,74.42729379795492,0.07541713014460512,0.0,0.0,0.0,0.0,0.05608163407078216,47182781071424,2021-09-27 13:19:36.307051,63,mix,17980,19,18,1,0,13,3,83810
../datasets,RF,1,100,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,2251,"{'shape': 'mix', 'n_samples': 4501, '__n_features': 37, 'm_rel': 23, 'm_red': 7, 'm_irr': 7, 'n_classes': 14, 'n_clusters_per_class': 2, 'random_state': 19093}",0.06657777777777778,1,46.327410185942426,0.07155555555555555,0.0,0.0,0.0,0.0,0.044377885093045175,47947108307008,2021-09-27 13:19:37.932282,64,mix,4501,37,23,7,7,14,2,19093
../datasets,RF,1,180,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,4852,"{'shape': 'mix', 'n_samples': 9703, '__n_features': 32, 'm_rel': 21, 'm_red': 1, 'm_irr': 10, 'n_classes': 2, 'n_clusters_per_class': 5, 'random_state': 18905}",0.4911358482787054,1,43.671544363955036,0.5001030715316429,0.0,0.0,0.0,0.0,0.37949039006016566,47491354157120,2021-09-27 13:19:48.089171,52,mix,9703,32,21,1,10,2,5,18905
../datasets,RF,1,92,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,8191,"{'shape': 'mix', 'n_samples': 16381, '__n_features': 40, 'm_rel': 23, 'm_red': 8, 'm_irr': 9, 'n_classes': 10, 'n_clusters_per_class': 5, 'random_state': 55187}",0.10445054945054943,1,70.12019606400281,0.10293040293040293,0.0,0.0,0.0,0.0,0.07992685414842864,47920477069376,2021-09-27 13:19:52.678929,60,mix,16381,40,23,8,9,10,5,55187
../datasets,RF,1,140,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,6098,"{'shape': 'mix', 'n_samples': 12196, '__n_features': 26, 'm_rel': 22, 'm_red': 0, 'm_irr': 4, 'n_classes': 2, 'n_clusters_per_class': 5, 'random_state': 12453}",0.49991800590357494,1,47.17623757314868,0.49147261397179404,0.0,0.0,0.0,0.0,0.4671856360988656,47558518714432,2021-09-27 13:19:54.363539,52,mix,12196,26,22,0,4,2,5,12453
../datasets,RF,1,72,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,8456,"{'shape': 'mix', 'n_samples': 16911, '__n_features': 24, 'm_rel': 13, 'm_red': 9, 'm_irr': 2, 'n_classes': 7, 'n_clusters_per_class': 5, 'random_state': 9624}",0.14388527498521583,1,63.55501635605469,0.14476641040804258,0.0,0.0,0.0,0.0,0.12572691892109036,47108701970496,2021-09-27 13:19:55.840175,57,mix,16911,24,13,9,2,7,5,9624
../datasets,RF,1,150,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,6806,"{'shape': 'mix', 'n_samples': 13611, '__n_features': 32, 'm_rel': 23, 'm_red': 6, 'm_irr': 3, 'n_classes': 5, 'n_clusters_per_class': 3, 'random_state': 42777}",0.22962527553269654,1,54.21326402807608,0.22909625275532697,0.0,0.0,0.0,0.0,0.1654514351917974,47653486415936,2021-09-27 13:19:59.907766,55,mix,13611,32,23,6,3,5,3,42777
../datasets,RF,1,160,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,6010,"{'shape': 'mix', 'n_samples': 12019, '__n_features': 42, 'm_rel': 29, 'm_red': 8, 'm_irr': 5, 'n_classes': 8, 'n_clusters_per_class': 2, 'random_state': 16061}",0.12413047096022631,1,55.73236236395314,0.11699117989682144,0.0,0.0,0.0,0.0,0.09314538059238608,47656254345280,2021-09-27 13:20:01.270865,58,mix,12019,42,29,8,5,8,2,16061
../datasets,RF,1,32,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,6453,"{'shape': 'mix', 'n_samples': 12906, '__n_features': 34, 'm_rel': 29, 'm_red': 3, 'm_irr': 2, 'n_classes': 6, 'n_clusters_per_class': 2, 'random_state': 10147}",0.1843173717650705,1,66.97794419317506,0.18704478537114522,0.0,0.0,0.0,0.0,0.14952267650532933,47915753144384,2021-09-27 13:20:03.284173,56,mix,12906,34,29,3,2,6,2,10147
../datasets,RF,1,2,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,6250,"{'shape': 'mix', 'n_samples': 12499, '__n_features': 21, 'm_rel': 19, 'm_red': 1, 'm_irr': 1, 'n_classes': 7, 'n_clusters_per_class': 2, 'random_state': 7412}",0.1462233957433189,1,53.65505909291096,0.1408225316050568,0.0,0.0,0.0,0.0,0.10969379825591963,47819356405824,2021-09-27 13:20:04.482161,57,mix,12499,21,19,1,1,7,2,7412
../datasets,RF,1,83,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,10048,"{'shape': 'mix', 'n_samples': 20095, '__n_features': 16, 'm_rel': 8, 'm_red': 7, 'm_irr': 1, 'n_classes': 4, 'n_clusters_per_class': 4, 'random_state': 65032}",0.2518512988951926,1,62.950172238983214,0.2599781029162934,0.0,0.0,0.0,0.0,0.23407377410980074,47506760818752,2021-09-27 13:20:07.533497,54,mix,20095,16,8,7,1,4,4,65032
../datasets,RF,1,130,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_7/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,7,6217,"{'shape': 'mix', 'n_samples': 12434, '__n_features': 21, 'm_rel': 11, 'm_red': 6, 'm_irr': 4, 'n_classes': 14, 'n_clusters_per_class': 4, 'random_state': 68128}",0.06668811323789609,1,63.629451758926734,0.06900434293067396,0.0,0.0,0.0,0.0,0.057282713650555726,47397367259200,2021-09-27 13:20:10.395130,64,mix,12434,21,11,6,4,14,4,68128
