dataset_id,strategy_id,dataset_random_seed,strategy,duration,f1_auc,n_samples,n_features,n_informative,n_redundant,n_repeated,n_classes,n_clusters_per_class,weights,flip_y,class_sep,hypercube,scale,random_state
15,14,14,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},112.31120306602679,0.5792655038277056,400,4097,4097,0,0,40,?,?,?,?,?,?,14
15,14,16,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},112.37333418009803,0.5451703621420639,400,4097,4097,0,0,40,?,?,?,?,?,?,16
15,14,19,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},114.26077744807117,0.595668517705205,400,4097,4097,0,0,40,?,?,?,?,?,?,19
15,14,15,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},114.40711178793572,0.5885296037945429,400,4097,4097,0,0,40,?,?,?,?,?,?,15
15,14,5,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},112.37442191783339,0.5349574680400664,400,4097,4097,0,0,40,?,?,?,?,?,?,5
15,14,11,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},112.53769913199358,0.5723402337939687,400,4097,4097,0,0,40,?,?,?,?,?,?,11
15,14,22,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},114.72698541800492,0.5816538211810902,400,4097,4097,0,0,40,?,?,?,?,?,?,22
15,14,20,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},115.00746481493115,0.5447472389175301,400,4097,4097,0,0,40,?,?,?,?,?,?,20
15,14,0,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},113.1490609778557,0.5383091926213659,400,4097,4097,0,0,40,?,?,?,?,?,?,0
15,14,18,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},115.26625494891778,0.5256559862699961,400,4097,4097,0,0,40,?,?,?,?,?,?,18
15,14,12,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},113.31387859303504,0.5324688178225143,400,4097,4097,0,0,40,?,?,?,?,?,?,12
15,14,21,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},115.67174370097928,0.584682688308718,400,4097,4097,0,0,40,?,?,?,?,?,?,21
15,14,3,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},113.80586377484724,0.5413249656241285,400,4097,4097,0,0,40,?,?,?,?,?,?,3
15,14,8,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},114.11388693004847,0.6093788659112267,400,4097,4097,0,0,40,?,?,?,?,?,?,8
15,14,17,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},116.4508931550663,0.5840922994567054,400,4097,4097,0,0,40,?,?,?,?,?,?,17
15,14,13,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},114.6984736691229,0.5509427216003265,400,4097,4097,0,0,40,?,?,?,?,?,?,13
15,14,7,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},114.60533174895681,0.5773924522738806,400,4097,4097,0,0,40,?,?,?,?,?,?,7
15,14,23,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},116.90310606500134,0.534975604845361,400,4097,4097,0,0,40,?,?,?,?,?,?,23
15,14,1,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},115.0838759872131,0.5718336960889314,400,4097,4097,0,0,40,?,?,?,?,?,?,1
15,14,6,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},115.2361148558557,0.6204463943785185,400,4097,4097,0,0,40,?,?,?,?,?,?,6
15,14,2,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},115.28328419313766,0.5783666759454071,400,4097,4097,0,0,40,?,?,?,?,?,?,2
15,14,4,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},115.47204682207666,0.5191380874339955,400,4097,4097,0,0,40,?,?,?,?,?,?,4
15,14,10,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},116.8617659281008,0.6027890869486956,400,4097,4097,0,0,40,?,?,?,?,?,?,10
15,14,9,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},116.92202015593648,0.534021535179217,400,4097,4097,0,0,40,?,?,?,?,?,?,9
