age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
58,4,1,2,0,10162,1,0,2,5,8,261,1,0,0,3
44,9,2,1,0,8048,1,0,2,5,8,151,1,0,0,3
33,2,1,1,0,8021,1,1,2,5,8,76,1,0,0,3
47,1,1,3,0,9525,1,0,2,5,8,92,1,0,0,3
33,11,2,3,0,8020,0,0,2,5,8,198,1,0,0,3
35,4,1,2,0,8250,1,0,2,5,8,139,1,0,0,3
28,4,2,2,0,8466,1,1,2,5,8,217,1,0,0,3
42,2,0,2,1,8021,1,0,2,5,8,380,1,0,0,3
58,5,1,0,0,8140,1,0,2,5,8,50,1,0,0,3
43,9,2,1,0,8612,1,0,2,5,8,55,1,0,0,3
41,0,0,1,0,8289,1,0,2,5,8,222,1,0,0,3
29,0,2,1,0,8409,1,0,2,5,8,137,1,0,0,3
53,9,1,1,0,8025,1,0,2,5,8,517,1,0,0,3
58,9,1,3,0,8090,1,0,2,5,8,71,1,0,0,3
57,7,1,1,0,8181,1,0,2,5,8,174,1,0,0,3
51,5,1,0,0,8248,1,0,2,5,8,353,1,0,0,3
45,0,2,3,0,8032,1,0,2,5,8,98,1,0,0,3
57,1,1,0,0,8071,1,0,2,5,8,38,1,0,0,3
60,5,1,0,0,8079,1,0,2,5,8,219,1,0,0,3
33,7,1,1,0,8019,1,0,2,5,8,54,1,0,0,3
28,1,1,1,0,8742,1,1,2,5,8,262,1,0,0,3
56,4,1,2,0,8798,1,0,2,5,8,164,1,0,0,3
32,1,2,0,0,8042,1,1,2,5,8,160,1,0,0,3
25,7,1,1,0,8069,1,0,2,5,8,342,1,0,0,3
40,5,1,0,0,8019,1,1,2,5,8,181,1,0,0,3
44,0,1,1,0,7647,1,0,2,5,8,172,1,0,0,3
39,4,2,2,0,8274,1,0,2,5,8,296,1,0,0,3
52,2,1,1,0,8132,1,1,2,5,8,127,1,0,0,3
46,4,2,1,0,7773,1,0,2,5,8,255,2,0,0,3
36,9,2,1,0,8284,1,1,2,5,8,348,1,0,0,3
57,9,1,1,0,8858,0,1,2,5,8,225,1,0,0,3
49,4,1,2,0,8397,1,0,2,5,8,230,1,0,0,3
60,0,1,1,0,8058,1,1,2,5,8,208,1,0,0,3
59,1,1,1,0,8019,1,0,2,5,8,226,1,0,0,3
51,4,1,2,0,18654,1,0,2,5,8,336,1,0,0,3
57,9,0,1,0,8082,1,0,2,5,8,242,1,0,0,3
25,1,1,1,0,8012,1,0,2,5,8,365,1,0,0,3
53,9,1,1,0,8016,0,0,2,5,8,1666,1,0,0,3
36,0,0,1,0,8525,1,0,2,5,8,577,1,0,0,3
37,0,2,1,0,8019,1,0,2,5,8,137,1,0,0,3
44,7,0,1,0,10605,1,0,2,5,8,160,1,0,0,3
50,4,1,1,0,8068,1,0,2,5,8,180,2,0,0,3
60,1,1,3,0,8123,1,0,2,5,8,22,1,0,0,3
54,5,1,1,0,8548,1,0,2,5,8,1492,1,0,0,3
58,5,1,3,0,8115,1,0,2,5,8,616,1,0,0,3
36,0,2,0,0,7848,1,0,2,5,8,242,1,0,0,3
58,6,1,2,0,7655,1,0,2,5,8,355,1,0,0,3
44,9,1,1,0,8019,1,0,2,5,8,225,2,0,0,3
55,9,0,1,0,8019,0,0,2,5,8,160,1,0,0,3
29,4,2,2,0,8019,1,0,2,5,8,363,1,0,0,3
54,1,1,1,0,9310,1,0,2,5,8,266,1,0,0,3
48,4,0,2,0,7775,1,0,2,5,8,253,1,0,0,3
32,4,1,2,0,8019,1,0,2,5,8,179,1,0,0,3
42,0,2,1,0,7943,1,0,2,5,8,787,1,0,0,3
24,9,2,1,0,7916,1,1,2,5,8,145,1,0,0,3
38,2,2,2,0,8262,0,1,2,5,8,174,1,0,0,3
38,4,2,2,0,8443,1,0,2,5,8,104,1,0,0,3
47,1,1,3,0,8325,1,0,2,5,8,13,1,0,0,3
40,1,2,3,0,8043,1,0,2,5,8,185,1,0,0,3
46,7,1,0,0,8198,1,0,2,5,8,1778,1,0,0,3
32,0,1,2,0,8019,1,0,2,5,8,138,1,0,0,3
53,9,0,1,0,9008,1,0,2,5,8,812,1,0,0,3
57,1,1,0,0,8268,1,0,2,5,8,164,1,0,0,3
33,7,1,1,0,8809,1,0,2,5,8,391,1,0,0,3
49,1,1,3,0,8173,1,0,2,5,8,357,1,0,0,3
51,4,1,2,0,14549,1,0,2,5,8,91,1,0,0,3
60,5,1,2,0,8119,0,0,2,5,8,528,1,0,0,3
59,4,0,2,0,8078,1,0,2,5,8,273,1,0,0,3
55,9,1,1,0,9224,1,0,2,5,8,158,2,0,0,3
35,1,2,1,0,20242,1,1,2,5,8,177,1,0,0,3
57,1,1,1,0,13954,1,1,2,5,8,258,1,0,0,3
31,7,1,1,0,8044,1,1,2,5,8,172,1,0,0,3
54,4,1,1,0,8301,1,1,2,5,8,154,1,0,0,3
55,1,1,0,0,8042,1,0,2,5,8,291,1,0,0,3
43,9,1,1,0,9956,1,0,2,5,8,181,1,0,0,3
53,9,1,1,0,8403,1,0,2,5,8,176,1,0,0,3
44,1,1,1,0,8601,0,1,2,5,8,211,1,0,0,3
