instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
1,0,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0
2,0,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0
3,0,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0
4,0,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0
5,0,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0
6,0,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896
7,0,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0
8,0,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0
9,0,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0
10,0,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0
11,0,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537
12,0,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836
13,0,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836
14,0,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985
15,0,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836
16,0,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985
17,0,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985
18,0,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836
19,0,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537
20,0,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537
21,0,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537
22,0,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.1939999999999999
23,0,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239
24,0,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985
25,22,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985
26,22,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537
27,22,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836
28,22,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.1939999999999999
29,22,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.1939999999999999
30,22,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985
31,22,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.1939999999999999
32,22,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239
33,22,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239
34,22,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239
35,22,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537
36,22,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985
37,22,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343
38,22,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.1939999999999999
39,22,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642
40,22,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642
41,22,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.1939999999999999
42,22,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284
43,22,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478
44,22,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582
45,22,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284
46,22,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985
47,22,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642
48,44,1,0,1,0,0,1,1,1,0.22,0.1969999999999999,0.44,0.3582
49,44,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179
50,44,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881
51,44,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836
52,44,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881
53,44,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.1939999999999999
54,44,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836
55,44,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881
56,44,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537
57,44,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284
58,44,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985
59,44,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836
