LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
20000,2,2,1,24,4,4,1,1,0,0,169493.0,72879.0,157953.0,170000.0,53007.0,339603.0,0.0,689.0,0.0,0.0,0.0,0.0
90000,2,2,2,34,2,2,2,2,2,2,194819.0,83804.0,170823.0,184331.0,67955.0,355152.0,1518.0,1500.0,1000.0,1000.0,1000.0,5000.0
50000,2,2,1,37,2,2,2,2,2,2,212570.0,118010.0,206555.0,198314.0,81966.0,369150.0,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0
50000,1,2,1,57,1,2,1,2,2,2,174197.0,75447.0,193099.0,190940.0,72153.0,358734.0,2000.0,36681.0,10000.0,9000.0,689.0,679.0
50000,1,1,2,37,2,2,2,2,2,2,229980.0,126846.0,214872.0,189394.0,72626.0,359627.0,2500.0,1815.0,657.0,1000.0,1000.0,800.0
100000,2,2,2,23,2,1,1,2,2,1,177456.0,70157.0,157865.0,170221.0,52848.0,340170.0,380.0,601.0,0.0,581.0,1687.0,1542.0
140000,2,3,1,28,2,2,4,2,2,2,176865.0,83873.0,169372.0,182211.0,64800.0,343322.0,3329.0,0.0,432.0,1000.0,1000.0,1000.0
20000,1,3,2,35,0,0,0,0,1,1,165580.0,69777.0,157264.0,170000.0,66014.0,353515.0,0.0,0.0,0.0,13007.0,1122.0,0.0
200000,2,3,2,34,2,2,4,2,2,1,176653.0,79564.0,162799.0,172513.0,54835.0,343334.0,2306.0,12.0,50.0,300.0,3738.0,66.0
260000,2,1,2,51,1,1,1,1,1,4,177841.0,91447.0,167230.0,178517.0,75294.0,353271.0,21818.0,9966.0,8583.0,22301.0,0.0,3640.0
630000,2,2,2,41,1,2,1,1,1,1,177717.0,76277.0,163764.0,176500.0,59507.0,342473.0,1000.0,6500.0,6500.0,6500.0,2870.0,0.0
250000,1,1,2,29,2,2,2,2,2,2,236467.0,136837.0,220825.0,229696.0,109882.0,395115.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
50000,2,3,3,23,3,4,2,2,2,2,216194.0,98950.0,185380.0,198771.0,82538.0,369814.0,0.0,1500.0,1100.0,1200.0,1300.0,1100.0
20000,1,1,2,24,2,2,4,4,4,4,180956.0,87787.0,174692.0,188338.0,70912.0,358707.0,3200.0,0.0,1500.0,0.0,1650.0,0.0
320000,1,1,1,49,2,2,2,1,1,1,418866.0,316313.0,351927.0,240074.0,58863.0,535202.0,10358.0,10000.0,75940.0,20000.0,195599.0,50000.0
360000,2,1,1,49,3,0,0,0,0,0,165580.0,69777.0,157264.0,170000.0,53007.0,339603.0,0.0,0.0,0.0,0.0,0.0,0.0
180000,2,1,2,29,3,0,0,0,0,0,165580.0,69777.0,157264.0,170000.0,53007.0,339603.0,0.0,0.0,0.0,0.0,0.0,0.0
130000,2,3,2,39,2,2,2,2,2,1,203938.0,97465.0,181753.0,190616.0,64809.0,340533.0,3000.0,1537.0,1000.0,2000.0,930.0,33764.0
70000,2,2,2,26,4,2,2,4,4,4,206667.0,112222.0,202284.0,214006.0,99912.0,385615.0,2007.0,3582.0,0.0,3601.0,0.0,1820.0
450000,2,1,1,40,0,0,0,0,0,0,171092.0,89197.0,158737.0,170560.0,53007.0,339603.0,19428.0,1473.0,560.0,0.0,0.0,1128.0
90000,1,1,2,23,2,2,2,1,2,2,170324.0,76847.0,157264.0,175398.0,59367.0,347895.0,5757.0,0.0,5398.0,1200.0,2045.0,2000.0
50000,1,3,2,23,2,2,2,2,2,2,213200.0,111587.0,193287.0,198967.0,82836.0,369649.0,1973.0,1426.0,1001.0,1432.0,1062.0,997.0
60000,1,1,2,27,3,0,1,1,1,1,165471.0,69352.0,157523.0,169943.0,53134.0,339414.0,0.0,1000.0,0.0,500.0,0.0,1000.0
50000,2,3,2,30,2,2,2,2,2,2,188121.0,85915.0,174427.0,187878.0,71938.0,359220.0,1300.0,1300.0,1000.0,1500.0,1000.0,1012.0
50000,2,3,1,47,1,1,1,1,1,1,166230.0,73192.0,160680.0,172040.0,83437.0,339860.0,3415.0,3421.0,2044.0,30430.0,257.0,0.0
50000,1,1,2,26,2,2,2,2,2,2,180909.0,86352.0,174760.0,187907.0,71382.0,351003.0,1500.0,1500.0,1000.0,1000.0,1600.0,0.0
230000,2,1,2,27,1,1,1,1,1,1,182226.0,87042.0,170530.0,185339.0,67314.0,376526.0,17270.0,13281.0,15339.0,14307.0,37292.0,0.0
50000,1,2,2,33,4,2,2,2,2,2,196098.0,99395.0,179366.0,192734.0,76224.0,363283.0,1718.0,1500.0,1000.0,1000.0,1000.0,716.0
100000,1,1,2,32,2,2,2,2,2,2,258616.0,153848.0,240144.0,250958.0,131710.0,415192.0,3023.0,3511.0,3302.0,3204.0,3200.0,2504.0
500000,2,2,1,54,0,0,0,0,0,0,176509.0,73929.0,179986.0,177521.0,124446.0,348584.0,4152.0,22827.0,7521.0,71439.0,981.0,51582.0
500000,1,1,1,58,0,0,0,0,0,0,179289.0,74783.0,188394.0,173180.0,53007.0,344896.0,5006.0,31178.0,3180.0,0.0,5293.0,768.0
160000,1,1,2,30,1,1,0,0,0,1,195845.0,69646.0,156737.0,169077.0,51519.0,337719.0,131.0,396.0,396.0,565.0,792.0,0.0
280000,1,2,1,40,2,2,2,2,2,2,352083.0,251105.0,337686.0,340410.0,226908.0,517016.0,8026.0,8060.0,6300.0,6400.0,6400.0,6737.0
50000,1,1,2,25,3,1,1,0,0,0,165580.0,70557.0,157264.0,170000.0,53007.0,339603.0,780.0,0.0,0.0,0.0,0.0,0.0
280000,1,1,2,31,1,1,4,1,2,1,166078.0,78852.0,161905.0,179976.0,70983.0,349080.0,9075.0,0.0,9976.0,8000.0,9525.0,781.0
360000,1,1,2,33,2,2,2,2,2,2,384248.0,291073.0,364159.0,798699.0,248976.0,518827.0,10000.0,7000.0,6000.0,188840.0,28000.0,4000.0
70000,2,1,2,25,2,2,2,2,2,2,233101.0,136776.0,221213.0,233699.0,117725.0,405573.0,3000.0,4500.0,4042.0,2500.0,2800.0,2500.0
10000,1,2,2,22,2,2,2,2,2,2,167457.0,72961.0,163267.0,173576.0,56677.0,344054.0,1500.0,2927.0,1000.0,300.0,1000.0,500.0
150000,2,5,2,46,2,2,1,2,2,0,170043.0,72811.0,158434.0,171170.0,53007.0,339603.0,1013.0,1170.0,0.0,0.0,0.0,0.0
380000,1,2,2,32,1,1,1,1,1,1,187981.0,91317.0,172398.0,202018.0,64856.0,351476.0,21540.0,15138.0,24677.0,11851.0,11875.0,8251.0
70000,1,3,2,42,3,4,4,4,4,2,202622.0,105948.0,195619.0,209423.0,91666.0,378965.0,0.0,3100.0,2000.0,0.0,1500.0,1500.0
310000,2,2,1,49,0,0,0,0,0,0,179045.0,77644.0,164864.0,181185.0,56551.0,340067.0,7875.0,7600.0,11185.0,3544.0,464.0,0.0
180000,2,1,2,25,3,4,2,2,2,2,206982.0,111519.0,200022.0,213510.0,97427.0,384922.0,1300.0,2010.0,1762.0,1762.0,1790.0,1622.0
150000,2,1,2,29,4,2,2,2,2,2,211804.0,104770.0,188698.0,196518.0,74049.0,356143.0,1600.0,1718.0,1049.0,1500.0,2000.0,5000.0
180000,2,3,1,34,2,2,2,1,1,1,181966.0,85570.0,165705.0,177142.0,52328.0,347924.0,8500.0,1500.0,7500.0,679.0,9000.0,2000.0
180000,2,2,1,34,2,2,2,2,2,2,341466.0,243217.0,329572.0,338608.0,185209.0,469521.0,8083.0,7296.0,5253.0,4814.0,4816.0,3800.0
200000,2,1,2,34,1,5,4,4,4,4,167167.0,70875.0,158046.0,171166.0,53707.0,341017.0,0.0,0.0,700.0,0.0,1200.0,0.0
400000,2,2,1,29,2,2,2,2,2,2,565714.0,468634.0,561469.0,530199.0,409663.0,703692.0,17000.0,15029.0,30000.0,12000.0,12000.0,23000.0
500000,2,3,1,28,2,2,2,2,2,2,188428.0,93415.0,176142.0,184937.0,66834.0,355174.0,1516.0,1300.0,1000.0,1000.0,2000.0,2000.0
70000,1,2,1,39,2,2,2,2,2,1,236380.0,141837.0,227202.0,186518.0,67103.0,340433.0,4025.0,2095.0,1000.0,2000.0,3000.0,0.0
50000,2,2,1,46,2,2,2,0,0,0,194298.0,98943.0,157264.0,170000.0,53007.0,339603.0,1000.0,0.0,0.0,0.0,0.0,0.0
130000,2,2,1,51,1,1,0,0,1,1,165679.0,69777.0,157264.0,170000.0,55360.0,339603.0,0.0,0.0,0.0,2353.0,0.0,0.0
200000,1,1,1,57,0,0,0,1,4,4,318099.0,218528.0,301340.0,178174.0,61205.0,347521.0,0.0,0.0,8222.0,300.0,0.0,1000.0
10000,1,2,1,56,4,4,4,2,2,2,167677.0,73970.0,161242.0,174062.0,57203.0,343929.0,2300.0,0.0,150.0,200.0,200.0,160.0
130000,2,3,2,29,3,0,0,1,4,1,165390.0,59927.0,147414.0,180311.0,63168.0,346922.0,0.0,0.0,20161.0,0.0,7319.0,13899.0
80000,1,1,2,31,1,1,1,1,1,1,166360.0,69777.0,157654.0,170390.0,53397.0,339993.0,0.0,390.0,390.0,390.0,390.0,390.0
320000,1,2,2,29,4,4,4,4,4,4,223847.0,129023.0,217448.0,228622.0,115314.0,403129.0,2500.0,2500.0,0.0,4800.0,2400.0,1600.0
200000,2,2,1,32,1,1,1,1,4,1,174656.0,75564.0,156580.0,175247.0,56855.0,342754.0,5818.0,15.0,9102.0,17.0,3165.0,1395.0
20000,1,2,2,24,2,2,4,2,2,2,180199.0,86993.0,173906.0,186976.0,70339.0,358146.0,2850.0,0.0,610.0,630.0,1500.0,0.0
50000,1,3,2,25,1,2,2,2,2,2,208418.0,107002.0,193351.0,179636.0,62597.0,349633.0,1759.0,1779.0,320.0,500.0,1000.0,1000.0
300000,2,1,1,45,1,1,1,1,1,1,165871.0,70068.0,157555.0,170291.0,53298.0,339894.0,291.0,291.0,291.0,291.0,291.0,291.0
30000,2,2,2,22,2,2,2,2,2,2,193967.0,99389.0,187590.0,198004.0,79453.0,346014.0,1686.0,1400.0,560.0,3000.0,1765.0,0.0
240000,2,2,2,44,3,0,0,0,0,0,165580.0,69777.0,157264.0,170000.0,53007.0,339603.0,0.0,0.0,0.0,0.0,0.0,0.0
470000,2,3,3,33,2,2,2,2,2,2,330834.0,227561.0,319966.0,239923.0,82278.0,369492.0,6400.0,7566.0,3000.0,960.0,1000.0,3000.0
360000,2,1,2,26,2,2,2,2,2,1,188991.0,97573.0,187664.0,203100.0,233007.0,339799.0,4796.0,3400.0,3100.0,146900.0,196.0,2963.0
60000,1,3,2,30,2,2,2,2,2,2,191904.0,97248.0,185372.0,191993.0,72906.0,359374.0,1576.0,1213.0,648.0,768.0,1140.0,0.0
400000,2,2,1,44,2,2,4,2,2,2,297175.0,208837.0,284083.0,274430.0,157997.0,433661.0,10700.0,3.0,3050.0,3000.0,3200.0,2800.0
50000,2,3,2,49,2,2,2,2,2,2,214489.0,117640.0,178753.0,190414.0,72349.0,359085.0,1676.0,1302.0,700.0,699.0,849.0,826.0
160000,1,2,2,33,2,2,2,2,2,2,295608.0,177585.0,229198.0,288418.0,171414.0,460021.0,4400.0,3547.0,80000.0,4500.0,4800.0,4500.0
360000,2,1,1,45,1,1,4,2,1,1,165970.0,70947.0,158044.0,170390.0,53397.0,339993.0,1170.0,0.0,0.0,390.0,390.0,390.0
160000,2,2,2,32,2,2,2,2,2,1,169406.0,74528.0,163868.0,178604.0,60079.0,340369.0,1147.0,2000.0,2000.0,0.0,766.0,2303.0
130000,2,1,1,35,2,2,2,1,1,1,246893.0,187643.0,175004.0,171330.0,60102.0,340793.0,40000.0,5000.0,1330.0,7095.0,1190.0,2090.0
200000,1,1,1,53,4,4,4,4,4,4,303760.0,210551.0,299724.0,314098.0,200131.0,489134.0,6300.0,5500.0,5500.0,5500.0,5000.0,5000.0
280000,2,1,2,39,1,1,1,2,2,0,173104.0,69777.0,161232.0,173868.0,53007.0,339603.0,0.0,3968.0,0.0,0.0,0.0,0.0
100000,2,1,2,27,0,0,0,0,0,0,163580.0,75332.0,157264.0,170000.0,53007.0,339603.0,7555.0,0.0,0.0,0.0,0.0,0.0
160000,2,2,1,37,1,1,1,1,1,0,166460.0,71379.0,158104.0,170840.0,53007.0,339603.0,1602.0,840.0,840.0,0.0,0.0,7736.0
60000,2,2,2,23,2,2,2,2,2,2,211228.0,116627.0,204478.0,189595.0,72216.0,358926.0,1937.0,1301.0,682.0,690.0,816.0,835.0
90000,1,2,2,35,2,2,2,2,2,2,249305.0,155773.0,244917.0,205565.0,83949.0,370438.0,3621.0,3597.0,1179.0,1112.0,1104.0,1143.0
360000,1,1,1,43,1,1,1,1,1,2,169547.0,78099.0,160658.0,176451.0,79377.0,349559.0,8339.0,3394.0,12902.0,27000.0,0.0,68978.0
50000,2,3,1,22,2,2,2,2,2,2,184302.0,87937.0,174261.0,183150.0,61873.0,347502.0,1411.0,1194.0,379.0,281.0,321.0,197.0
140000,1,1,2,32,0,0,0,0,0,0,166252.0,79989.0,158114.0,170415.0,53107.0,341033.0,10212.0,850.0,415.0,100.0,1430.0,0.0
380000,2,1,2,30,0,0,1,2,2,2,165499.0,69474.0,189739.0,202891.0,86571.0,373659.0,223.0,33178.0,1171.0,1197.0,1250.0,5000.0
480000,1,1,1,63,2,2,2,4,4,2,587649.0,501119.0,636696.0,657066.0,524152.0,809564.0,16078.0,55693.0,17000.0,0.0,18000.0,24200.0
50000,2,3,2,22,2,2,2,2,2,2,210278.0,112031.0,195611.0,202496.0,76484.0,363697.0,1767.0,1362.0,1002.0,840.0,995.0,904.0
60000,2,2,2,26,4,4,4,4,4,2,222265.0,124985.0,216439.0,230218.0,108454.0,394908.0,0.0,5000.0,2511.0,6.0,3000.0,3000.0
80000,2,2,1,36,1,1,1,1,1,1,171688.0,72638.0,160541.0,173319.0,54157.0,340753.0,2861.0,3279.0,3319.0,1150.0,1150.0,1035.0
350000,1,1,2,52,1,1,1,1,1,1,166293.0,72049.0,157986.0,170867.0,54157.0,344866.0,2272.0,722.0,867.0,1150.0,5263.0,5011.0
130000,1,2,2,38,2,2,2,1,1,1,337018.0,248159.0,197204.0,290483.0,97134.0,466171.0,10908.0,0.0,133657.0,4566.0,133841.0,4796.0
360000,1,2,1,35,3,0,0,0,0,0,165477.0,69674.0,157161.0,169897.0,52904.0,339500.0,0.0,0.0,0.0,0.0,0.0,0.0
330000,2,1,1,31,2,2,4,2,2,2,271459.0,178208.0,262858.0,275896.0,159498.0,446892.0,9260.0,0.0,3593.0,4100.0,15794.0,0.0
50000,1,3,1,47,2,2,4,2,2,2,178824.0,84499.0,172445.0,185928.0,69678.0,356996.0,2000.0,1000.0,1000.0,1000.0,1000.0,1000.0
280000,1,2,1,41,4,4,4,4,4,5,301253.0,208309.0,292077.0,314401.0,205181.0,489018.0,6500.0,0.0,14254.0,14850.0,0.0,5000.0
100000,2,1,2,24,2,2,2,2,2,2,217708.0,122469.0,211741.0,226076.0,113107.0,399316.0,2000.0,2677.0,3076.0,5080.0,3000.0,2033.0
50000,1,2,2,41,2,2,2,2,2,2,184595.0,89071.0,177523.0,190274.0,73318.0,359560.0,1340.0,1305.0,700.0,718.0,724.0,684.0
240000,1,1,2,28,1,1,1,1,1,1,165906.0,70103.0,157590.0,175676.0,53483.0,339929.0,326.0,326.0,5676.0,476.0,326.0,526.0
240000,2,2,2,38,2,2,2,2,1,1,215834.0,121222.0,210279.0,222479.0,54314.0,340806.0,2000.0,3000.0,3000.0,1307.0,1203.0,563.0
50000,1,3,2,37,4,4,4,5,4,4,211584.0,115753.0,206217.0,218851.0,102325.0,390746.0,1000.0,4035.0,1000.0,1400.0,2800.0,0.0
450000,1,1,1,40,3,0,0,0,0,0,165580.0,69777.0,157264.0,170000.0,53007.0,339603.0,0.0,0.0,0.0,0.0,0.0,0.0
110000,2,1,1,48,3,0,0,0,0,0,165580.0,69777.0,157264.0,170000.0,53007.0,339603.0,0.0,0.0,0.0,0.0,0.0,0.0
310000,2,2,1,35,4,2,2,2,2,2,470571.0,381020.0,463578.0,428610.0,299498.0,538492.0,13019.0,11128.0,8407.0,8599.0,6833.0,5987.0
20000,1,1,2,27,2,2,2,2,2,2,184695.0,88739.0,176562.0,189378.0,72724.0,355233.0,1404.0,1130.0,600.0,861.0,313.0,0.0
180000,1,1,1,36,2,2,2,2,2,2,329316.0,186199.0,256542.0,265766.0,150760.0,435530.0,4655.0,2690.0,2067.0,2142.0,2217.0,1000.0
30000,2,1,2,23,3,0,0,0,1,1,169580.0,75422.0,160772.0,169973.0,66751.0,345509.0,5645.0,3508.0,27.0,13771.0,5911.0,3024.0
240000,1,1,2,41,3,1,1,2,2,1,165675.0,72399.0,160565.0,173164.0,53367.0,341340.0,2622.0,3301.0,0.0,360.0,1737.0,924.0
420000,1,2,1,34,2,2,2,2,2,2,419034.0,317520.0,386313.0,390951.0,263613.0,527711.0,9744.0,9553.0,7603.0,7830.0,7253.0,11326.0
330000,1,3,1,46,2,2,2,2,2,2,392969.0,298496.0,386908.0,397587.0,280782.0,567806.0,8210.0,8095.0,8025.0,8175.0,8391.0,8200.0
240000,1,2,1,34,2,2,2,4,4,4,176254.0,81812.0,170945.0,183269.0,67165.0,353494.0,1500.0,1800.0,0.0,1000.0,0.0,327.0
150000,1,1,2,27,2,2,2,2,2,2,183024.0,89119.0,179264.0,194614.0,80207.0,369832.0,2500.0,3000.0,3000.0,3000.0,3500.0,5000.0
210000,2,2,1,33,2,2,2,2,2,2,172746.0,77774.0,166056.0,179189.0,57411.0,345311.0,1500.0,1500.0,1000.0,500.0,2000.0,546.0
50000,2,3,1,51,1,1,1,1,0,0,166332.0,70077.0,163144.0,170000.0,53007.0,339603.0,300.0,5880.0,0.0,0.0,0.0,0.0
240000,1,1,2,47,3,0,0,0,0,0,165580.0,69777.0,157264.0,170000.0,53007.0,339603.0,0.0,0.0,0.0,0.0,0.0,0.0
50000,1,2,2,23,3,4,4,4,2,2,175711.0,80610.0,177847.0,189996.0,72886.0,357668.0,1000.0,10000.0,400.0,700.0,800.0,600.0
170000,1,2,2,29,0,0,0,0,0,0,177739.0,79777.0,167264.0,180000.0,62990.0,355449.0,10000.0,10000.0,10000.0,9983.0,15863.0,10000.0
20000,1,1,2,29,1,1,1,1,2,1,166779.0,85363.0,157608.0,172340.0,59709.0,339942.0,15586.0,344.0,2340.0,4702.0,339.0,330.0
50000,1,1,2,28,2,2,2,2,2,5,170579.0,75690.0,164579.0,179195.0,63631.0,349741.0,1000.0,1500.0,2000.0,1583.0,1100.0,0.0
170000,2,2,2,27,2,2,2,2,2,2,184849.0,90090.0,178116.0,187560.0,70925.0,348703.0,1661.0,1200.0,351.0,358.0,182.0,0.0
200000,1,1,2,34,3,4,2,2,2,2,362816.0,245969.0,250333.0,305668.0,185240.0,399478.0,8000.0,5000.0,55500.0,5000.0,5000.0,8500.0
80000,2,2,1,23,3,4,5,4,2,2,174748.0,80299.0,167469.0,179898.0,63130.0,351637.0,1650.0,0.0,0.0,379.0,2091.0,1.0
260000,2,1,1,60,3,0,1,1,1,1,164480.0,68677.0,178664.0,170000.0,53976.0,340472.0,0.0,22500.0,0.0,969.0,1000.0,0.0
140000,1,2,1,32,2,2,2,2,4,2,252207.0,147919.0,225600.0,234648.0,111326.0,394854.0,3455.0,3110.0,5000.0,0.0,2100.0,2602.0
80000,1,1,2,25,2,2,2,2,2,2,208024.0,125521.0,200740.0,211087.0,94958.0,371429.0,30000.0,3000.0,6000.0,8000.0,2000.0,14000.0
