city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
5,0.92,1,0,2,0,5,21,-1,-1,0,36
77,0.7759999999999999,1,1,2,0,5,6,4,5,4,47
64,0.624,-1,1,0,0,5,15,-1,-1,5,83
14,0.789,-1,1,-1,0,1,20,-1,5,5,52
50,0.767,1,0,2,2,5,21,4,1,3,8
57,0.764,-1,0,1,0,5,2,-1,-1,0,24
49,0.92,1,0,2,1,-1,15,4,1,0,24
83,0.762,1,0,2,0,5,4,7,5,4,18
5,0.92,1,0,2,0,5,17,4,5,0,46
5,0.92,-1,0,2,0,5,8,3,5,4,123
64,0.624,-1,1,0,1,-1,11,-1,-1,5,32
5,0.92,1,0,2,0,5,15,6,5,0,108
91,0.913,1,0,2,0,5,21,2,5,2,23
64,0.624,1,1,-1,-1,-1,11,-1,-1,5,24
64,0.624,-1,1,0,1,-1,15,-1,-1,5,26
13,0.926,1,0,2,0,5,7,0,5,4,18
5,0.92,-1,0,2,0,5,0,4,5,5,106
64,0.624,-1,0,2,0,5,11,6,5,1,7
64,0.624,-1,0,2,0,5,17,3,5,5,23
26,0.8270000000000001,0,0,2,0,0,14,-1,-1,0,132
47,0.843,1,0,2,2,5,2,1,5,0,68
13,0.926,1,0,2,2,5,2,1,5,1,50
4,0.804,-1,0,2,2,5,1,-1,-1,0,48
77,0.7759999999999999,1,0,2,0,2,20,2,5,0,65
64,0.624,-1,0,2,0,5,15,2,5,0,13
95,0.855,-1,1,2,1,-1,14,-1,-1,5,22
64,0.624,-1,0,1,0,5,5,5,5,0,148
5,0.92,1,0,2,0,0,15,-1,-1,1,72
2,0.887,1,0,2,1,-1,2,7,5,0,8
64,0.624,1,0,2,0,5,9,4,1,1,68
5,0.92,1,0,2,0,5,21,1,5,2,40
5,0.92,1,0,1,0,5,10,6,5,4,141
5,0.92,0,1,0,0,5,15,-1,-1,0,24
49,0.92,0,0,2,0,5,21,1,5,4,82
48,0.91,1,0,2,0,1,3,6,5,2,145
5,0.92,1,0,2,0,5,1,0,0,1,206
13,0.926,1,1,1,1,-1,0,3,3,0,152
13,0.926,1,0,2,3,5,21,1,5,3,42
5,0.92,-1,1,2,0,5,3,-1,-1,3,50
99,0.884,1,1,2,-1,-1,13,-1,-1,5,106
13,0.926,0,0,0,2,5,7,2,4,1,14
6,0.924,1,0,2,1,-1,14,0,5,1,36
64,0.624,-1,0,2,2,5,16,4,0,0,112
93,0.6659999999999999,-1,1,2,0,3,19,4,5,5,108
64,0.624,1,0,1,2,5,19,6,5,2,7
64,0.624,0,1,0,2,5,15,-1,-1,5,26
64,0.624,1,0,2,0,5,15,1,5,5,87
5,0.92,2,0,2,0,5,10,3,4,3,52
3,0.5579999999999999,1,0,2,0,3,6,-1,-1,4,20
112,0.923,1,0,2,0,5,2,0,5,0,21
3,0.5579999999999999,1,1,2,0,5,14,-1,-1,0,92
93,0.6659999999999999,1,0,2,0,5,1,1,5,1,102
7,0.794,1,1,2,0,2,15,3,5,4,26
6,0.924,-1,0,2,2,5,13,7,0,1,7
13,0.926,1,1,0,1,-1,14,3,5,0,43
6,0.924,1,0,2,0,5,21,1,5,0,45
101,0.754,1,0,0,0,5,11,4,0,1,52
5,0.92,1,0,2,0,5,21,-1,-1,1,19
64,0.624,-1,0,0,0,5,11,0,1,-1,32
50,0.767,1,0,2,0,2,21,1,5,4,26
95,0.855,1,0,1,0,5,16,-1,-1,0,90
103,0.939,1,0,2,0,5,16,1,5,2,25
78,0.8270000000000001,-1,0,-1,2,5,4,7,-1,0,15
2,0.887,1,0,2,2,2,21,1,5,4,48
11,0.55,-1,1,0,1,-1,13,-1,-1,-1,98
118,0.865,1,0,2,0,5,1,4,5,1,142
95,0.855,2,1,2,2,2,14,3,5,3,13
48,0.91,1,0,2,0,5,6,-1,-1,4,47
48,0.91,0,0,2,2,2,5,5,4,0,28
116,0.698,-1,1,-1,-1,-1,11,-1,5,5,228
93,0.6659999999999999,1,0,2,0,5,21,-1,-1,3,22
64,0.624,1,1,0,0,5,20,-1,-1,5,18
26,0.8270000000000001,1,0,2,0,5,11,0,5,0,29
95,0.855,1,0,2,2,5,15,1,-1,0,46
11,0.55,-1,1,0,0,5,20,-1,-1,5,12
5,0.92,-1,0,2,0,5,15,1,5,1,17
74,0.893,1,0,2,2,5,15,4,5,1,65
5,0.92,1,1,2,0,2,13,1,5,0,35
95,0.855,1,1,0,0,5,19,3,5,2,14
5,0.92,0,0,2,2,5,11,7,0,0,4
5,0.92,1,0,2,0,5,6,4,5,4,12
49,0.92,1,0,2,0,5,21,4,5,1,108
5,0.92,1,1,2,0,5,21,-1,-1,0,136
5,0.92,1,0,2,0,5,15,0,-1,0,27
63,0.7959999999999999,-1,0,1,2,5,14,4,1,0,74
99,0.884,1,0,2,0,5,6,0,0,0,86
89,0.866,0,1,1,0,5,20,0,5,1,83
5,0.92,-1,1,0,1,-1,14,-1,-1,2,75
43,0.698,1,1,0,2,5,2,-1,4,1,42
5,0.92,0,0,2,0,5,16,1,-1,0,332
91,0.913,1,1,0,0,5,14,-1,-1,-1,140
48,0.91,1,1,2,1,-1,13,-1,-1,5,182
5,0.92,0,1,2,0,2,13,1,5,0,13
61,0.682,-1,0,2,0,5,15,0,5,1,172
5,0.92,-1,0,2,0,5,1,1,2,0,48
94,0.802,1,0,0,0,5,19,4,5,0,33
49,0.92,-1,1,0,1,-1,11,1,5,0,142
102,0.579,-1,1,0,0,5,11,1,5,0,34
94,0.802,1,0,2,0,5,16,4,5,1,14
11,0.55,1,0,2,0,5,16,0,5,1,27
11,0.55,1,0,2,0,5,18,1,5,0,24
55,0.878,-1,1,2,2,5,21,-1,-1,0,150
5,0.92,0,0,2,0,5,2,5,2,4,20
5,0.92,-1,0,2,0,5,15,5,-1,0,140
48,0.91,1,0,2,0,5,3,6,5,0,52
103,0.939,1,0,2,0,5,21,4,5,1,160
30,0.897,1,0,2,2,5,19,6,5,1,3
64,0.624,1,0,2,0,5,11,7,5,1,2
48,0.91,1,0,2,0,5,21,2,5,4,28
101,0.754,1,0,2,0,4,21,-1,-1,3,46
95,0.855,1,0,2,0,5,18,4,5,0,210
13,0.926,1,0,2,0,5,1,7,5,0,36
121,0.949,1,1,0,0,5,14,-1,-1,0,160
64,0.624,1,0,0,0,5,11,0,2,1,101
13,0.926,1,0,2,2,5,16,4,-1,0,46
120,0.925,1,0,2,0,5,21,2,5,4,19
64,0.624,1,0,2,0,5,13,1,5,1,26
116,0.698,-1,0,0,0,5,17,7,2,0,90
85,0.8959999999999999,1,0,2,0,5,19,7,5,3,59
49,0.92,1,0,1,0,1,1,4,1,0,260
64,0.624,0,0,2,0,5,2,4,5,4,74
48,0.91,1,0,2,3,5,21,1,5,1,20
55,0.878,1,0,2,0,5,3,1,5,1,8
5,0.92,1,0,2,0,5,16,1,5,0,131
31,0.836,1,0,0,2,5,17,-1,-1,0,45
111,0.693,1,0,0,0,5,2,0,5,1,109
95,0.855,1,0,2,0,2,13,1,5,0,70
5,0.92,0,0,2,0,5,21,1,2,4,17
5,0.92,0,1,2,2,5,6,4,5,0,51
5,0.92,0,0,2,0,5,16,4,5,2,60
74,0.893,-1,1,2,3,5,21,2,4,4,4
13,0.926,1,1,2,0,5,3,1,5,4,7
4,0.804,-1,0,2,2,5,21,1,5,2,164
93,0.6659999999999999,1,0,2,0,5,12,-1,-1,3,290
4,0.804,1,1,2,1,-1,11,7,2,5,145
5,0.92,-1,1,2,3,5,-1,-1,-1,-1,70
64,0.624,1,1,2,-1,-1,13,-1,-1,0,24
5,0.92,1,1,2,2,2,13,3,5,0,133
11,0.55,-1,1,0,0,5,11,-1,-1,0,20
5,0.92,1,0,2,0,5,1,7,1,0,76
116,0.698,0,1,0,2,5,15,-1,-1,3,21
64,0.624,0,0,2,0,4,18,6,5,1,34
49,0.92,1,1,2,0,5,19,7,5,1,15
89,0.866,1,1,2,0,5,21,-1,-1,4,156
5,0.92,1,0,2,0,5,21,6,5,4,15
13,0.926,-1,0,2,2,5,21,-1,-1,5,120
45,0.769,-1,0,2,0,3,5,3,-1,4,47
101,0.754,1,0,2,0,5,3,-1,-1,1,100
95,0.855,1,0,1,0,5,16,5,5,5,102
5,0.92,1,1,2,1,-1,14,-1,-1,5,52
13,0.926,-1,0,2,1,-1,19,0,-1,3,39
5,0.92,1,0,0,1,-1,14,-1,-1,0,112
5,0.92,1,1,2,3,5,21,4,5,4,14
