age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
39,6,9,13,4,0,1,4,1,2174,0,40,38
50,5,9,13,2,3,0,4,1,0,0,13,38
38,3,11,9,0,5,1,4,1,0,0,40,38
53,3,1,7,2,5,0,2,1,0,0,40,38
28,3,9,13,2,9,5,2,0,0,0,40,4
37,3,12,14,2,3,5,4,0,0,0,40,38
49,3,6,5,3,7,1,2,0,0,0,16,22
52,5,11,9,2,3,0,4,1,0,0,45,38
31,3,12,14,4,9,1,4,0,14084,0,50,38
42,3,9,13,2,3,0,4,1,5178,0,40,38
37,3,15,10,2,3,0,2,1,0,0,80,38
30,6,9,13,2,9,0,1,1,0,0,40,18
23,3,9,13,4,0,3,4,0,0,0,30,38
32,3,7,12,4,11,1,2,1,0,0,50,38
40,3,8,11,2,2,0,1,1,0,0,40,-1
34,3,5,4,2,13,0,0,1,0,0,45,25
25,5,11,9,4,4,3,4,1,0,0,35,38
32,3,11,9,4,6,4,4,1,0,0,40,38
38,3,1,7,2,11,0,4,1,0,0,50,38
43,5,12,14,0,3,4,4,0,0,0,45,38
40,3,10,16,2,9,0,4,1,0,0,60,38
54,3,11,9,5,7,4,2,0,0,0,20,38
35,0,6,5,2,4,0,2,1,0,0,40,38
43,3,1,7,2,13,0,4,1,0,2042,40,38
59,3,11,9,0,12,4,4,0,0,0,40,38
56,1,9,13,2,12,0,4,1,0,0,40,38
19,3,11,9,4,2,3,4,1,0,0,40,38
54,-1,15,10,2,-1,0,1,1,0,0,60,34
39,3,11,9,0,3,1,4,1,0,0,80,38
49,3,11,9,2,2,0,4,1,0,0,40,38
23,1,7,12,4,10,1,4,1,0,0,52,38
20,3,15,10,4,11,3,2,1,0,0,44,38
45,3,9,13,0,3,3,4,1,0,1408,40,38
30,0,15,10,2,0,3,4,1,0,0,40,38
22,6,15,10,2,7,0,2,1,0,0,15,38
48,3,1,7,4,6,4,4,1,0,0,40,32
21,3,15,10,4,6,3,4,1,0,0,40,38
19,3,11,9,1,0,5,4,0,0,0,25,38
31,3,15,10,2,11,0,4,1,0,0,38,-1
48,5,7,12,2,9,0,4,1,0,0,40,38
31,3,6,5,2,6,0,4,1,0,0,43,38
53,5,9,13,2,9,0,4,1,0,0,40,38
24,3,9,13,2,12,0,4,1,0,0,50,38
49,3,11,9,5,0,4,4,0,0,0,40,38
25,3,11,9,4,5,1,4,1,0,0,35,38
57,0,9,13,2,9,0,2,1,0,0,40,38
53,3,11,9,2,6,0,4,1,0,0,38,38
