Id,WeekofPurchase,StoreID,PriceCH,PriceMM,DiscCH,DiscMM,SpecialCH,SpecialMM,LoyalCH,SalePriceMM,SalePriceCH,PriceDiff,Store7,PctDiscMM,PctDiscCH,ListPriceDiff,STORE
1,237,1,1.75,1.99,0.0,0.0,0,0,0.5,1.99,1.75,0.91,0,0.0,0.0,0.24,1
2,239,1,1.75,1.99,0.0,0.3,0,1,0.6,1.69,1.75,0.6100000000000001,0,0.150754,0.0,0.24,1
3,245,1,1.86,2.09,0.17,0.0,0,0,0.68,2.09,1.69,1.07,0,0.0,0.091398,0.23,1
4,227,1,1.69,1.69,0.0,0.0,0,0,0.4,1.69,1.69,0.67,0,0.0,0.0,0.0,1
5,228,7,1.69,1.69,0.0,0.0,0,0,0.956535,1.69,1.69,0.67,1,0.0,0.0,0.0,0
6,230,7,1.69,1.99,0.0,0.0,0,1,0.965228,1.99,1.69,0.97,1,0.0,0.0,0.3,0
7,232,7,1.69,1.99,0.0,0.4,1,1,0.972182,1.59,1.69,0.5700000000000001,1,0.201005,0.0,0.3,0
8,234,7,1.75,1.99,0.0,0.4,1,0,0.977746,1.59,1.75,0.51,1,0.201005,0.0,0.24,0
9,235,7,1.75,1.99,0.0,0.4,0,0,0.982197,1.59,1.75,0.51,1,0.201005,0.0,0.24,0
10,238,7,1.75,1.99,0.0,0.4,0,0,0.985757,1.59,1.75,0.51,1,0.201005,0.0,0.24,0
11,240,7,1.86,2.09,0.0,0.0,0,0,0.988606,2.09,1.86,0.9,1,0.0,0.0,0.23,0
12,263,7,1.86,2.13,0.27,0.0,0,0,0.990885,2.13,1.59,1.21,1,0.0,0.1451609999999999,0.27,0
13,276,7,1.99,2.13,0.0,0.54,0,1,0.992708,1.59,1.99,0.27,1,0.253521,0.0,0.14,0
14,268,7,1.86,2.13,0.0,0.0,0,0,0.68,2.13,1.86,0.9400000000000001,1,0.0,0.0,0.27,0
15,278,7,2.06,2.13,0.0,0.0,0,0,0.7440000000000001,2.13,2.06,0.74,1,0.0,0.0,0.07,0
16,278,7,2.06,2.13,0.0,0.0,0,0,0.7952,2.13,2.06,0.74,1,0.0,0.0,0.07,0
17,240,1,1.75,1.99,0.0,0.3,0,1,0.5,1.69,1.75,0.6100000000000001,0,0.150754,0.0,0.24,1
18,268,2,1.86,2.18,0.0,0.0,0,1,0.4,2.18,1.86,0.99,0,0.0,0.0,0.32,2
19,269,2,1.86,2.18,0.0,0.0,0,0,0.32,2.18,1.86,0.99,0,0.0,0.0,0.32,2
20,254,7,1.86,2.18,0.0,0.0,0,0,0.5,2.18,1.86,0.99,1,0.0,0.0,0.32,0
21,257,7,1.86,2.18,0.0,0.0,0,0,0.6,2.18,1.86,0.99,1,0.0,0.0,0.32,0
22,258,1,1.76,2.18,0.0,0.0,0,0,0.68,2.18,1.76,1.09,0,0.0,0.0,0.42,1
23,259,7,1.86,2.18,0.0,0.0,0,0,0.7440000000000001,2.18,1.86,0.99,1,0.0,0.0,0.32,0
24,264,7,1.86,2.13,0.37,0.0,1,0,0.7952,2.13,1.49,1.31,1,0.0,0.198925,0.27,0
25,268,7,1.86,2.13,0.0,0.0,0,0,0.83616,2.13,1.86,0.9400000000000001,1,0.0,0.0,0.27,0
26,269,7,1.86,2.13,0.27,0.0,1,0,0.868928,2.13,1.59,1.21,1,0.0,0.1451609999999999,0.27,0
27,271,7,1.86,2.13,0.0,0.0,0,0,0.895142,2.13,1.86,0.9400000000000001,1,0.0,0.0,0.27,0
28,272,7,1.86,2.13,0.0,0.0,0,0,0.916114,2.13,1.86,0.9400000000000001,1,0.0,0.0,0.27,0
29,274,7,1.86,2.13,0.47,0.54,1,0,0.932891,1.59,1.39,0.8700000000000001,1,0.253521,0.252688,0.27,0
30,278,7,2.06,2.13,0.0,0.0,0,0,0.946313,2.13,2.06,0.74,1,0.0,0.0,0.07,0
31,246,2,1.89,2.09,0.0,0.0,0,0,0.5,2.09,1.89,0.8700000000000001,0,0.0,0.0,0.2,2
32,265,7,1.86,2.13,0.37,0.0,1,0,0.6,2.13,1.49,1.31,1,0.0,0.198925,0.27,0
33,275,2,1.96,2.18,0.0,0.8,0,1,0.68,1.38,1.96,0.09000000000000008,0,0.3669719999999999,0.0,0.22,2
34,232,2,1.69,1.69,0.0,0.0,1,0,0.68,1.69,1.69,0.67,0,0.0,0.0,0.0,2
35,251,3,1.99,2.23,0.0,0.0,0,0,0.544,2.23,1.99,0.91,0,0.0,0.0,0.24,3
36,256,3,1.99,2.29,0.0,0.0,0,0,0.6352,2.29,1.99,0.97,0,0.0,0.0,0.3,3
37,258,1,1.76,2.18,0.0,0.0,0,0,0.70816,2.18,1.76,1.09,0,0.0,0.0,0.42,1
38,277,1,1.99,2.13,0.24,0.0,0,0,0.7952,2.13,1.75,1.05,0,0.0,0.120603,0.14,1
39,271,4,1.99,2.09,0.1,0.4,1,0,0.4,1.69,1.89,0.47000000000000003,0,0.191388,0.050251,0.1,4
40,227,4,1.79,1.79,0.0,0.0,0,1,0.920961,1.79,1.79,0.67,0,0.0,0.0,0.0,4
41,229,4,1.79,1.79,0.0,0.0,0,0,0.936769,1.79,1.79,0.67,0,0.0,0.0,0.0,4
42,230,4,1.79,1.79,0.0,0.0,0,0,0.949415,1.79,1.79,0.67,0,0.0,0.0,0.0,4
43,233,4,1.79,2.09,0.0,0.0,0,0,0.959532,2.09,1.79,0.97,0,0.0,0.0,0.3,4
44,236,4,1.79,2.09,0.0,0.0,0,0,0.967626,2.09,1.79,0.97,0,0.0,0.0,0.3,4
45,237,4,1.79,2.09,0.0,0.0,0,0,0.9741,2.09,1.79,0.97,0,0.0,0.0,0.3,4
46,240,4,1.79,2.23,0.0,0.0,0,0,0.77928,2.23,1.79,1.11,0,0.0,0.0,0.44,4
47,244,4,1.99,2.23,0.0,0.0,0,0,0.8234239999999999,2.23,1.99,0.91,0,0.0,0.0,0.24,4
48,245,4,1.99,2.23,0.0,0.0,0,0,0.8587389999999999,2.23,1.99,0.91,0,0.0,0.0,0.24,4
49,246,4,1.99,2.23,0.0,0.0,0,0,0.886992,2.23,1.99,0.91,0,0.0,0.0,0.24,4
50,247,4,1.99,2.23,0.0,0.0,0,0,0.909593,2.23,1.99,0.91,0,0.0,0.0,0.24,4
51,248,4,1.99,2.23,0.0,0.0,0,0,0.927675,2.23,1.99,0.91,0,0.0,0.0,0.24,4
52,249,4,1.99,2.23,0.0,0.0,0,0,0.7421399999999999,2.23,1.99,0.91,0,0.0,0.0,0.24,4
53,252,4,1.99,2.23,0.0,0.0,0,0,0.793712,2.23,1.99,0.91,0,0.0,0.0,0.24,4
54,254,4,1.99,2.29,0.0,0.0,1,0,0.8349690000000001,2.29,1.99,0.97,0,0.0,0.0,0.3,4
55,256,4,1.99,2.29,0.0,0.0,0,0,0.667976,2.29,1.99,0.97,0,0.0,0.0,0.3,4
56,256,4,1.99,2.29,0.0,0.0,0,0,0.73438,2.29,1.99,0.97,0,0.0,0.0,0.3,4
57,257,4,1.99,2.29,0.0,0.4,0,1,0.787504,1.89,1.99,0.5700000000000001,0,0.174672,0.0,0.3,4
58,258,4,1.99,2.29,0.0,0.0,0,0,0.830003,2.29,1.99,0.97,0,0.0,0.0,0.3,4
59,258,7,1.86,2.18,0.0,0.0,0,0,0.8640030000000001,2.18,1.86,0.99,1,0.0,0.0,0.32,0
60,259,4,1.99,2.29,0.0,0.0,0,0,0.891202,2.29,1.99,0.97,0,0.0,0.0,0.3,4
61,260,4,1.99,2.09,0.0,0.0,0,0,0.912962,2.09,1.99,0.77,0,0.0,0.0,0.1,4
62,263,4,1.99,2.09,0.0,0.0,0,0,0.930369,2.09,1.99,0.77,0,0.0,0.0,0.1,4
63,265,4,1.99,2.09,0.1,0.0,0,0,0.944296,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
64,265,4,1.99,2.09,0.1,0.0,0,0,0.755436,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
65,266,4,1.99,2.09,0.1,0.0,0,0,0.804349,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
