Age,Occupation,Gender,Same_ofiice_home_location,kids,RM_save_money,RM_quality_time,RM_better_sleep,calmer_stressed,RM_professional_growth,RM_lazy,RM_productive,digital_connect_sufficient,RM_better_work_life_balance,RM_improved_skillset,RM_job_opportunities
45,6,0,1,1,1,1,1,0,5,1,5,1,5,5,2
24,6,1,0,0,0,0,0,0,2,2,2,0,3,3,0
53,2,0,1,1,1,1,1,0,3,3,4,0,5,3,0
26,1,0,1,0,1,1,0,1,3,4,4,0,4,5,2
26,5,1,1,0,0,1,0,1,3,3,5,1,4,2,2
27,5,1,0,0,1,1,1,0,3,3,3,0,3,5,2
24,1,1,1,0,0,0,0,0,3,4,2,0,2,3,1
36,1,0,0,0,0,1,0,1,3,4,3,0,3,4,1
26,1,1,0,0,1,1,1,1,2,4,3,0,2,4,1
26,5,0,0,0,1,1,1,0,3,2,4,0,4,3,1
27,1,0,1,0,1,1,0,1,4,4,4,0,4,4,2
25,1,1,0,0,1,1,1,0,4,3,4,0,3,4,2
26,0,0,0,0,1,1,1,0,1,2,3,1,5,3,2
25,0,0,0,0,1,0,0,1,4,4,3,0,3,3,1
25,0,0,1,0,1,1,0,1,4,4,4,0,4,4,2
28,1,1,0,0,0,0,1,1,3,3,4,0,3,3,2
25,5,1,0,0,1,1,1,0,4,3,2,0,3,3,1
24,0,1,0,0,0,1,0,1,1,5,2,0,3,5,2
44,6,0,0,1,0,0,0,1,4,1,3,0,4,3,0
25,4,1,1,0,1,0,0,1,4,3,4,1,2,5,2
44,4,1,1,1,0,1,0,1,2,1,3,0,3,2,0
29,1,0,1,0,1,1,1,1,5,5,1,0,1,2,1
41,6,0,0,1,1,1,1,1,3,2,4,1,3,4,0
28,3,1,1,0,0,0,0,1,2,4,3,0,2,5,1
21,5,1,0,0,1,1,1,0,3,3,4,1,4,4,0
42,6,0,1,1,1,1,0,1,1,1,5,1,4,5,2
32,1,0,1,1,1,1,1,0,4,1,5,1,3,3,1
26,2,1,1,0,1,1,0,1,2,4,5,1,4,4,1
36,6,0,1,1,1,1,1,0,4,3,3,0,1,1,1
25,3,0,0,0,1,0,0,1,4,3,3,1,3,1,1
