holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,Rush Hour
7,288.28,0.0,0.0,40,1,1
7,289.36,0.0,0.0,75,1,0
7,289.58,0.0,0.0,90,1,0
7,290.13,0.0,0.0,90,1,0
7,291.14,0.0,0.0,75,1,0
7,291.72,0.0,0.0,1,0,0
7,293.17,0.0,0.0,1,0,0
7,293.86,0.0,0.0,1,0,0
7,294.14,0.0,0.0,20,1,1
7,293.1,0.0,0.0,20,1,1
7,290.97,0.0,0.0,20,1,1
7,289.38,0.0,0.0,1,0,0
7,288.61,0.0,0.0,1,0,0
7,287.16,0.0,0.0,1,0,0
7,285.45,0.0,0.0,1,0,0
7,284.63,0.0,0.0,1,0,0
7,283.47,0.0,0.0,1,0,0
7,281.18,0.0,0.0,1,0,0
7,281.09,0.0,0.0,1,0,0
7,279.53,0.0,0.0,1,0,0
7,278.62,0.0,0.0,1,0,0
7,278.23,0.0,0.0,1,0,0
7,278.12,0.0,0.0,1,0,1
7,282.48,0.0,0.0,1,0,1
7,291.97,0.0,0.0,1,0,0
7,293.23,0.0,0.0,1,0,0
7,294.31,0.0,0.0,1,0,0
7,295.17,0.0,0.0,1,0,0
7,295.13,0.0,0.0,1,0,0
7,293.66,0.0,0.0,20,1,1
7,290.65,0.0,0.0,20,1,1
7,288.19,0.0,0.0,20,1,0
7,287.1,0.0,0.0,1,0,0
7,286.25,0.0,0.0,1,0,0
7,285.26,0.0,0.0,1,0,0
7,284.55,0.0,0.0,1,0,0
7,283.47,0.0,0.0,1,0,0
7,283.17,0.0,0.0,1,0,0
7,282.04,0.0,0.0,1,0,0
7,281.69,0.0,0.0,1,0,0
7,281.32,0.0,0.0,1,0,0
7,280.74,0.0,0.0,1,0,0
7,280.57,0.0,0.0,1,0,1
7,281.86,0.0,0.0,1,0,1
7,284.98,0.0,0.0,1,0,1
7,289.18,0.0,0.0,1,0,0
7,291.55,0.0,0.0,1,0,0
7,294.97,0.0,0.0,1,0,0
7,296.38,0.0,0.0,1,0,0
7,297.32,0.0,0.0,1,0,0
7,298.17,0.0,0.0,1,0,0
7,298.06,0.0,0.0,20,1,0
